,Base,Com AC,Res AC
2020,480445.9111629122,23884.701287265107,18601.39228954558
2025,583415.9558345347,53673.103648669756,41800.5837289476
2030,689429.1148603158,115871.92416174253,90240.99108301198
2035,809367.4945243027,220653.99972454627,171845.2142186277
2040,942013.2637722923,313389.5507391333,298304.857280795
2045,1095174.6162283507,403215.50392129354,416264.3901630065
2050,1244879.0513348973,446932.5100063365,522106.19106348994
