,Base,Com AC,Res AC
2020,1228721.233075358,25015.777759702556,54302.512595637905
2025,1494070.2219233895,56214.8304222039,122027.24877330387
2030,1760833.1053234038,121359.11890029605,263437.9447866491
2035,2069182.0755249814,231103.22178665022,501662.81987675297
2040,2428295.416505745,328230.3286616009,870832.8396974027
2045,2825664.8925683443,422310.05169571127,1215188.7309342048
2050,3218323.9796184557,468097.3067000726,1524169.6737087802
