,Base,Com AC,Res AC
2020,87672224.35871539,1265404.093338659,1233162.2298289477
2025,105223864.79007256,2843584.44522099,2771131.3345244178
2030,123630173.36337033,6138858.735297367,5982443.682371253
2035,144693611.90255827,11690180.718812732,11392320.760332348
2040,169002226.47656316,16603281.554385768,19775846.73486706
2045,196457775.23147088,21362232.795921985,27595865.706262168
2050,223169126.05335337,23678346.268859576,34612550.757354125
