,Base,Com AC,Res AC
2020,69384620.74450701,1415452.564668632,1014110.5567613215
2025,96462474.45883033,2785097.298046909,1995401.7824013236
2030,126600987.70832248,5247443.955111225,3759566.6867447565
2035,157486318.29120564,9004655.445422925,6451446.256269701
2040,190211131.36615732,11896822.169889094,10417682.794836923
2045,224586246.17878905,14561773.803995285,13829633.298432982
2050,258888490.11686802,15577349.990500603,16740746.52345534
