,Base,Com AC,Res AC
2020,156400862.44361138,4234677.870268003,2965446.945979471
2025,176248472.14832518,8332310.237004312,5834924.093997641
2030,198474217.73062563,15699031.777432445,10993668.762327407
2035,219277038.96928138,26939663.042009234,18865222.800661948
2040,240547218.30910563,35592298.058492176,30463232.457408436
2045,262891028.43737352,43565162.70403117,40440407.168058254
2050,284845854.8903079,46603511.081019714,48953040.98789804
