,Base,Com AC,Res AC
2020,419028485.5472288,6585194.159514847,6256984.072018778
2025,487408864.70643175,12957273.820809888,12311475.397352993
2030,560921731.069666,24412995.636960536,23196237.0570123
2035,629589743.6147281,41892894.13702434,39804926.78814038
2040,699018028.101909,55348293.41898933,64276300.92207003
2045,771207810.118243,67746606.42103192,85327772.88750935
2050,842016242.2127402,72471431.92126533,103289117.39710513
