,Base,Com AC,Res AC,E2W,E3W,E4W
2020,1366614665.57664,27195432.070000004,27195432.080000006,7492861.55182226,342997.47909073456,7816831.02709534
2025,1698047962.8038733,61112895.1,61112895.10000001,17356680.57985912,798034.4623466926,18080823.048846073
2030,2057607816.236412,131933282.5,131933282.50000001,35716138.42815987,1640927.9820489625,37190803.08513304
2035,2459125147.1688266,251239518.90000004,251239519.00000006,55370864.83354294,2543637.245980168,57781500.86724599
2040,2922730100.2232237,356829425.50000006,436124853.40000004,85478893.20005406,3934281.8771571526,88815902.5028807
2045,3450096674.7457576,459106426.1,608582936.9000002,132541297.95550773,6070870.279412691,137811274.05589268
2050,3981903633.049174,508883178.79999995,763324768.2000003,203878039.26288682,9358809.58339676,212730690.46696904
