,Base,Com AC,Res AC,E2W,E3W,E4W
2020,1366614665.57664,25388062.040000003,25388062.05,7492861.55182226,342997.47909073456,7816831.02709534
2025,1698047962.8038733,49954498.48,49954498.480000004,17356680.57985912,798034.4623466926,18080823.048846073
2030,2057607816.236412,94120026.35,94120026.35000001,35716138.42815987,1640927.9820489625,37190803.08513304
2035,2459125147.1688266,161510711.69999996,161510711.8,55370864.83354294,2543637.245980168,57781500.86724599
2040,2922730100.2232237,213385645.6,260804678.00000003,85478893.20005406,3934281.8771571526,88815902.5028807
2045,3450096674.7457576,261185168.60000005,346222200.3000001,132541297.95550773,6070870.279412691,137811274.05589268
2050,3981903633.049174,279400905.3,419101358.00000006,203878039.26288682,9358809.58339676,212730690.46696904
