,Base,Com AC,Res AC
2020,401281383.329715,8223145.948966102,9051521.761984525
2025,471129706.4895239,18478848.009387605,20340353.420688413
2030,534427148.0057652,39892973.008524634,43911675.09918092
2035,589943524.8147388,75967876.76492788,83620659.7861498
2040,627302987.2798226,107895342.02727698,145156495.02754328
2045,648588912.0105544,138821076.20908707,202556138.1454913
2050,670848977.1145935,153872188.5158934,254059237.98156077
