,Base,Com AC,Res AC
2020,413355588.90085936,7053992.547784352,6702417.262928837
2025,477164326.38430977,15851555.71344915,15061504.5166732
2030,532905866.10263276,34221055.54948543,32515457.286415983
2035,582569573.6945244,65166888.669679664,61918931.24999902
2040,613982785.6761025,92554959.29714683,107484622.33001846
2045,635803188.9895991,119083723.32579407,149987570.34650105
2050,656277440.2263772,131994893.17574984,188124280.89227968
