,Base,Com AC,Res AC
2020,48912013.48568043,462015.22426746314,699506.9409780486
2025,55149282.0146944,1038229.0622404682,1571914.5104942706
2030,60488639.52927564,2241375.8658323125,3393520.1537995823
2035,65281022.78755643,4268234.546546517,6462253.913506726
2040,68365720.01170927,6062070.520639924,11217779.559041813
2045,69553292.18629248,7799624.5057350565,15653657.837465614
2050,71508121.69757186,8645267.167443888,19633847.772877894
