,Base,Com AC,Res AC
2020,11063995.466353467,266380.9154097528,321760.6915043261
2025,13691635.924539233,598604.5339590812,723052.5821161121
2030,16115998.206479473,1292294.5469262232,1560958.622931929
2035,18292945.803089313,2460906.4073490165,2972521.3090511886
2040,19908283.620994765,3495165.9810060975,5159978.116891417
2045,20821356.024834793,4496975.438383542,7200402.848487401
2050,21952827.377588317,4984541.766295568,9031219.086202193
