,Base,Com AC,Res AC
2020,16923561.073422108,377683.72705934447,292756.0000422844
2025,19685786.58013556,848721.4298836751,657873.9645632325
2030,22190477.36209015,1832258.216362046,1420248.0748799602
2035,24384392.473449327,3489155.003623688,2704567.3118420076
2040,25839447.1963087,4955562.647447383,4694838.722356921
2045,26644293.429300316,6375961.436465734,6551332.068441617
2050,27499036.925017267,7067249.2024500035,8217111.800763705
