,Base,Com AC,Res AC
2020,53488745.78060142,1074044.1800598048,784933.6782170748
2025,66193397.63657212,2113329.4174134745,1544464.802322147
2030,79390843.86840467,3981755.928003591,2909949.500331929
2035,94302944.82738964,6832724.752499539,4993496.425010979
2040,111381612.88724063,9027298.357940516,8063410.858047738
2045,130608827.65653218,11049461.349621344,10704301.2824954
2050,149407372.21914703,11820079.680288414,12957537.673920685
