,Base,Com AC,Res AC
2020,1063900.6027964365,22392.39864899587,36214.606689746885
2025,1531039.1890397102,44060.1193786439,71257.21180584395
2030,1999290.0665458632,83014.33750881109,134256.7908169211
2035,2518081.2244292516,142453.2615672401,230385.7180000102
2040,3106982.9863251713,188207.21466334298,372022.8356939943
2045,3755297.983068272,230366.63480976727,493866.00625246484
2050,4406379.665256593,246433.0063677417,597823.9226459117
