,Base,Com AC,Res AC
2020,360274.6021481211,15889.499656747554,18661.56077418971
2025,173571.37204305886,31264.772600616983,36719.18350808851
2030,-12592.554640763887,58906.43106295937,69183.16917375197
2035,-202755.99326474225,101083.90290187749,118718.86708022049
2040,-407179.0299568969,133550.60883237288,191705.15414310555
2045,-629677.4270948953,163466.6576865373,254491.5251722466
2050,-861184.3069676735,174867.24988558076,308061.5388232219
