,Base,Com AC,Res AC
2020,12074628.896327524,233614.42305216496,316538.13689599896
2025,15936162.414783254,459668.4584620407,622832.2527056852
2030,19894687.669679247,866068.2969329081,1173487.6701796674
2035,24286835.307404898,1486180.0664852972,2013714.1504236495
2040,29260977.239514716,1963519.8781977505,3251710.4576668907
2045,34833906.546621315,2403358.806045813,4316695.383017444
2050,40322690.40643422,2570975.3343549054,5225352.0875534145
