DateTime,Base,Com AC,Res AC
2045-01-01 00:00:00,72587.59187686848,3331.06914206112,10308.719063502114
2045-01-01 01:00:00,71132.41609631805,2767.6774205210163,5065.089438771719
2045-01-01 02:00:00,70462.30153519062,2436.4322102743818,0.0
2045-01-01 03:00:00,70166.375031919,2597.525203031443,0.0
2045-01-01 04:00:00,71949.2710722909,2855.7020040691646,0.0
2045-01-01 05:00:00,76840.61823380494,3482.698973204049,0.0
2045-01-01 06:00:00,84630.08858851604,5280.243459638493,0.0
2045-01-01 07:00:00,92923.3677008631,6995.743027651038,0.0
2045-01-01 08:00:00,96403.56120628037,8964.361198429593,0.0
2045-01-01 09:00:00,99203.85745624716,11235.848584052379,0.0
2045-01-01 10:00:00,99123.15022808219,13073.128895315162,0.0
2045-01-01 11:00:00,97076.12144098857,14809.28853769072,0.0
2045-01-01 12:00:00,94882.3522390495,15631.604206689426,0.0
2045-01-01 13:00:00,92624.99552401077,14910.00153404449,0.0
2045-01-01 14:00:00,91678.51984825778,14228.534320214561,0.0
2045-01-01 15:00:00,93153.26101745428,14042.11286148315,3817.2536466619713
2045-01-01 16:00:00,92607.87580894545,13105.004183129797,12576.669482547946
2045-01-01 17:00:00,89981.22238321241,12859.661457849212,22401.51166676144
2045-01-01 18:00:00,91732.32466703445,11619.181055451587,29109.320616096426
2045-01-01 19:00:00,90524.16191814048,10389.027884876312,34705.29982506309
2045-01-01 20:00:00,85422.48682868131,9733.174912973082,36144.754605325215
2045-01-01 21:00:00,81964.30438549089,8279.676062982613,35868.92887859584
2045-01-01 22:00:00,79384.11875779224,6899.295752817785,31155.5795251949
2045-01-01 23:00:00,75771.85887901411,4836.350435908088,20269.567299457027
2045-01-02 00:00:00,71830.32645237808,6871.502283496627,16478.23935287227
2045-01-02 01:00:00,70559.73461504375,5703.916925262847,8412.865723629444
2045-01-02 02:00:00,70543.44497610356,5061.931215087578,0.0
2045-01-02 03:00:00,70259.53984028896,5358.095679603713,0.0
2045-01-02 04:00:00,71569.69222933515,6027.21472715585,0.0
2045-01-02 05:00:00,76610.17193568338,7204.347982520026,0.0
2045-01-02 06:00:00,84203.4707730861,11005.221596702919,0.0
2045-01-02 07:00:00,92543.76591046009,15143.786787408306,0.0
2045-01-02 08:00:00,94891.80100912368,18387.293582114813,0.0
2045-01-02 09:00:00,97342.22812398274,23002.154533986162,0.0
2045-01-02 10:00:00,97456.25559656402,27537.284352398827,0.0
2045-01-02 11:00:00,95366.52762966619,30354.561179425178,0.0
2045-01-02 12:00:00,92899.81087586697,31937.50157591877,0.0
2045-01-02 13:00:00,90623.91560679559,30889.39112914622,0.0
2045-01-02 14:00:00,89942.07786258504,29200.848925312024,0.0
2045-01-02 15:00:00,91382.54736315271,28759.876713300942,10761.928717732097
2045-01-02 16:00:00,90740.27017065404,27681.013638989287,30993.139799997654
2045-01-02 17:00:00,87228.68943340589,26246.54993804761,50393.570366562875
2045-01-02 18:00:00,89155.52101090191,24075.13739205785,62634.64076768178
2045-01-02 19:00:00,88804.13022804938,21018.068103518763,77365.1013789629
2045-01-02 20:00:00,83640.31468401117,19853.294082440734,75865.29014743723
2045-01-02 21:00:00,80354.46180064844,17381.403623686805,69802.39621895681
2045-01-02 22:00:00,77624.7837325291,13791.59543608282,57156.22168155914
2045-01-02 23:00:00,74701.95708840473,10186.22501025955,36018.99713549706
2045-01-03 00:00:00,73633.00385086954,7352.591309090221,17709.729361815072
2045-01-03 01:00:00,72365.9409195665,6318.0022319648215,12127.379396518216
2045-01-03 02:00:00,72303.51263645486,5776.417291617225,0.0
2045-01-03 03:00:00,72067.67245581087,6405.069496021113,0.0
2045-01-03 04:00:00,73371.72992525414,6923.348964974185,0.0
2045-01-03 05:00:00,78594.89627892853,8926.581221435272,0.0
2045-01-03 06:00:00,86370.6857642791,14121.3383969413,0.0
2045-01-03 07:00:00,94796.19182571756,18075.004994725576,0.0
2045-01-03 08:00:00,96967.30878282255,22949.66138167218,0.0
2045-01-03 09:00:00,99482.93737635852,28998.20386084909,0.0
2045-01-03 10:00:00,99651.72495662334,33433.878848128246,0.0
2045-01-03 11:00:00,97549.97275853126,35282.56135616282,0.0
2045-01-03 12:00:00,95043.59279953035,37406.19140285277,0.0
2045-01-03 13:00:00,92687.50315172417,34826.98175159753,0.0
2045-01-03 14:00:00,91949.92454755325,33146.056597500814,0.0
2045-01-03 15:00:00,93448.20334223274,32255.08925388038,8289.323942874524
2045-01-03 16:00:00,92726.80984849817,30842.546684671946,25549.59208636449
2045-01-03 17:00:00,89226.20167697845,29914.12254812466,42282.45421120546
2045-01-03 18:00:00,91198.47299157972,27231.705195419487,51485.75031542507
2045-01-03 19:00:00,90856.27351378257,24737.9105468511,58961.05620351794
2045-01-03 20:00:00,85554.49376656016,22004.90421046993,55207.71226755449
2045-01-03 21:00:00,82220.36101667152,18073.35405895508,54215.79530588549
2045-01-03 22:00:00,79401.8396421124,13902.170282197612,51865.70881233845
2045-01-03 23:00:00,76446.90090816116,10490.044881493208,36552.65672417301
2045-01-04 00:00:00,75441.64517599088,6505.798456516496,20368.41419236106
2045-01-04 01:00:00,74182.85493514224,5395.7961662785065,9611.420109324925
2045-01-04 02:00:00,74104.65353741417,4722.024682764651,0.0
2045-01-04 03:00:00,73844.82308689832,5028.936421036669,0.0
2045-01-04 04:00:00,75156.58846814341,5578.0483496812485,0.0
2045-01-04 05:00:00,80479.32876511861,6908.9315011652625,0.0
2045-01-04 06:00:00,88370.10205845437,10543.734738619067,0.0
