,Base,Com AC,Res AC
2020,85264186.87200709,1181307.1233676423,1151208.0086286936
2025,98638517.32067367,2324383.9882582095,2265159.8457553745
2030,110770709.50366549,4379407.037986157,4267821.935091878
2035,121388508.56772336,7515097.211074388,7323616.2940400895
2040,128363221.95557232,9928839.104557471,11826047.746776624
2045,132143823.33691692,12152952.033087067,15699259.319811204
2050,136201858.8240385,13000530.689827241,19003925.4987862
