,Base,Com AC,Res AC
2020,154283474.34555173,4234677.870268003,2965446.945979471
2025,172544017.10476232,8332310.237004312,5834924.093997641
2030,188561200.32483685,15699031.777432445,10993668.762327407
2035,202900591.07364336,26939663.042009234,18865222.800661948
2040,211284752.67669412,35592298.058492176,30463232.457408436
2045,216734000.93239486,43565162.70403117,40440407.168058254
2050,222012235.79161602,46603511.081019714,48953040.98789804
