,Base,Com AC,Res AC
2020,99728236.07694492,2034258.9322408512,1245208.6344627657
2025,130842759.36096188,4002683.8038462596,2450118.9856495205
2030,161600000.2736118,7541517.111608248,4616306.248821501
2035,190940499.89646658,12941303.176691858,7921618.140664157
2040,214304758.82222864,17097864.929188617,12791690.689675197
2045,232224926.62645474,20927877.888287324,16981165.100636624
2050,252574045.7363572,22387442.822032172,20555670.1676909
