,Base,Com AC,Res AC
2020,127531617.31012098,1416341.7197667025,2936142.7320535257
2025,155213285.62329525,2786846.8328056093,5777264.02891909
2030,180253155.94130513,5250740.280018882,10885030.561371218
2035,202300874.25233185,9010311.965108227,18678798.78607598
2040,217774954.70440197,11904295.482910836,30162198.21296915
2045,227313977.16014943,14570921.179003078,40040779.602806464
2050,236899284.66263837,15587135.327363318,48469292.53056014
