,Base,Com AC,Res AC
2020,11063995.466353467,248677.61575868205,300376.9301084309
2025,13691635.924539233,489307.358665455,591032.8590255149
2030,16115998.206479473,921911.3972144024,1113573.951452416
2035,18292945.803089313,1582007.2694703352,1910901.7338372038
2040,19908283.620994765,2090125.4101762504,3085690.7621098957
2045,20821356.024834793,2558324.652612097,4096301.6971002035
2050,21952827.377588317,2736748.904321699,4958565.922534226
