,Base,Com AC,Res AC,E2W,E3W,E4W
2020,1352897253.959542,27195432.070000004,27195432.080000006,6463608.453059252,295338.08428516734,6724887.844928156
2025,1648445490.2498899,61112895.1,61112895.10000001,15023595.984274076,693239.8599758442,15691729.8400844
2030,1959922850.3128793,131933282.5,131933282.50000001,27972175.98090277,1286786.465885129,29226864.40084287
2035,2271144260.347087,251239518.90000004,251239519.00000006,49279519.68935859,2270737.2944485513,51334342.1855628
2040,2586835443.50883,356829425.50000006,436124853.40000004,68507121.10503453,3161585.4289728296,71813051.85847656
2045,2914560434.5585485,459106426.1,608582936.9000002,93974048.15300636,4313466.738989441,97842035.93765655
2050,3238309210.0596185,508883178.79999995,763324768.2000003,125624052.85859302,5785206.647926126,131216098.55264114
