,Base,Com AC,Res AC,E2W,E3W,E4W
2020,1352897253.959542,25388062.040000003,25388062.05,6463608.453059252,295338.08428516734,6724887.844928156
2025,1648445490.2498899,49954498.48,49954498.480000004,15023595.984274076,693239.8599758442,15691729.8400844
2030,1959922850.3128793,94120026.35,94120026.35000001,27972175.98090277,1286786.465885129,29226864.40084287
2035,2271144260.347087,161510711.69999996,161510711.8,49279519.68935859,2270737.2944485513,51334342.1855628
2040,2586835443.50883,213385645.6,260804678.00000003,68507121.10503453,3161585.4289728296,71813051.85847656
2045,2914560434.5585485,261185168.60000005,346222200.3000001,93974048.15300636,4313466.738989441,97842035.93765655
2050,3238309210.0596185,279400905.3,419101358.00000006,125624052.85859302,5785206.647926126,131216098.55264114
