,Base,Com AC,Res AC
2020,69384620.74450701,1516218.2922865218,1086304.8433432318
2025,96462474.45883033,3407207.843093017,2441117.086963999
2030,126600987.70832248,7355634.423200589,5269993.995915246
2035,157486318.29120564,14007277.15305041,10035608.389161654
2040,190211131.36615732,19894197.70116528,17420739.599103183
2045,224586246.17878905,25596414.852588527,24309471.8990219
2050,258888490.11686802,28371602.34658014,30490539.3780936
