,Base,Com AC,Res AC
2020,29339845.53542841,1094272.4235198395,1193172.4296376815
2025,38110906.79608481,2459021.6348561496,2681267.2552566323
2030,47749163.16889315,5308647.143851119,5788441.0428753
2035,57425670.23174046,10109215.272734648,11022883.049785782
2040,67599965.10458492,14357874.48495122,19134542.50058952
2045,78221108.43746358,18473231.101784043,26700968.725958522
2050,88710580.72095737,20476116.28013954,33490112.07457948
