,Base,Com AC,Res AC
2020,359188442.03635716,8668690.439141884,7638780.119931674
2025,474853250.9613037,19480064.44972253,17165675.72039657
2030,602924760.8804835,42054444.35185086,37058037.26720305
2035,733092580.050104,80083949.75366305,70569330.8138238
2040,870591239.4908136,113741301.15949066,122500788.00586705
2045,1014668173.9450871,146342645.93545285,170941620.85919517
2050,1157853451.9711504,162209253.94195032,214406229.95895466
