,Base,Com AC,Res AC
2020,101538715.46349409,2179077.336323809,1333854.7376034039
2025,134398783.4694426,4896768.1163061,2997405.020740338
2030,170659370.104837,10571364.524106884,6470933.552095018
2035,207311889.57132527,20130966.85556308,12322548.202416735
2040,245949040.94190785,28591526.40190044,21390621.784678034
2045,286367360.71178246,36786634.07516628,29849175.818230227
2050,326424315.28353834,40775075.71511427,37438800.582336254
