DateTime,Base,Com AC,Res AC
2045-01-01 00:00:00,59692.363720279696,3331.06914206112,10308.719063502114
2045-01-01 01:00:00,58495.700768340124,2767.6774205210163,5065.089438771719
2045-01-01 02:00:00,57944.63245097636,2436.4322102743818,0.0
2045-01-01 03:00:00,57701.27746411133,2597.525203031443,0.0
2045-01-01 04:00:00,59167.44098001713,2855.7020040691646,0.0
2045-01-01 05:00:00,63189.83745712492,3482.698973204049,0.0
2045-01-01 06:00:00,69595.50384691908,5280.243459638493,0.0
2045-01-01 07:00:00,76415.47707385535,6995.743027651038,0.0
2045-01-01 08:00:00,79277.41216731754,8964.361198429593,0.0
2045-01-01 09:00:00,81580.23415046177,11235.848584052379,0.0
2045-01-01 10:00:00,81513.86460858947,13073.128895315162,0.0
2045-01-01 11:00:00,79830.49168291986,14809.28853769072,0.0
2045-01-01 12:00:00,78026.44686293702,15631.604206689426,0.0
2045-01-01 13:00:00,76170.11088875178,14910.00153404449,0.0
2045-01-01 14:00:00,75391.77717043141,14228.534320214561,0.0
2045-01-01 15:00:00,76604.52970827941,14042.11286148315,3817.2536466619713
2045-01-01 16:00:00,76156.0325010819,13105.004183129797,12576.669482547946
2045-01-01 17:00:00,73996.00559287501,12859.661457849212,22401.51166676144
2045-01-01 18:00:00,75436.0235316796,11619.181055451587,29109.320616096426
2045-01-01 19:00:00,74442.49160183397,10389.027884876312,34705.29982506309
2045-01-01 20:00:00,70247.13207621056,9733.174912973082,36144.754605325215
2045-01-01 21:00:00,67403.29776689532,8279.676062982613,35868.92887859584
2045-01-01 22:00:00,65281.48362522097,6899.295752817785,31155.5795251949
2045-01-01 23:00:00,62310.94382687687,4836.350435908088,20269.567299457027
2045-01-02 00:00:00,57383.19311694537,6871.502283496627,16478.23935287227
2045-01-02 01:00:00,56368.1536430136,5703.916925262847,8412.865723629444
2045-01-02 02:00:00,56355.14031642472,5061.931215087578,0.0
2045-01-02 03:00:00,56128.33662444729,5358.095679603713,0.0
2045-01-02 04:00:00,57174.979891523464,6027.21472715585,0.0
2045-01-02 05:00:00,61201.674947450614,7204.347982520026,0.0
2045-01-02 06:00:00,67267.74418451912,11005.221596702919,0.0
2045-01-02 07:00:00,73930.56739802,15143.786787408306,0.0
2045-01-02 08:00:00,75806.34547347268,18387.293582114813,0.0
2045-01-02 09:00:00,77763.92160176967,23002.154533986162,0.0
2045-01-02 10:00:00,77855.01488789175,27537.284352398827,0.0
2045-01-02 11:00:00,76185.59099120543,30354.561179425178,0.0
2045-01-02 12:00:00,74215.00153631956,31937.50157591877,0.0
2045-01-02 13:00:00,72396.85390718903,30889.39112914622,0.0
2045-01-02 14:00:00,71852.15323711207,29200.848925312024,0.0
2045-01-02 15:00:00,73002.9031168992,28759.876713300942,10761.928717732097
2045-01-02 16:00:00,72489.80623996665,27681.013638989287,30993.139799997654
2045-01-02 17:00:00,69684.50483673763,26246.54993804761,50393.570366562875
2045-01-02 18:00:00,71223.79546753527,24075.13739205785,62634.64076768178
2045-01-02 19:00:00,70943.0794225468,21018.068103518763,77365.1013789629
2045-01-02 20:00:00,66817.85489387535,19853.294082440734,75865.29014743723
2045-01-02 21:00:00,64192.88101623493,17381.403623686805,69802.39621895681
2045-01-02 22:00:00,62012.219289271605,13791.59543608282,57156.22168155914
2045-01-02 23:00:00,59677.256689897404,10186.22501025955,36018.99713549706
2045-01-03 00:00:00,60869.314798276806,7352.591309090221,17709.729361815072
2045-01-03 01:00:00,59821.88703625156,6318.0022319648215,12127.379396518216
2045-01-03 02:00:00,59770.280193962,5776.417291617225,0.0
2045-01-03 03:00:00,59575.32101197922,6405.069496021113,0.0
2045-01-03 04:00:00,60653.33060647233,6923.348964974185,0.0
2045-01-03 05:00:00,64971.10307803257,8926.581221435272,0.0
2045-01-03 06:00:00,71399.0219898772,14121.3383969413,0.0
2045-01-03 07:00:00,78364.03433443919,18075.004994725576,0.0
2045-01-03 08:00:00,80158.80562739848,22949.66138167218,0.0
2045-01-03 09:00:00,82238.37023521501,28998.20386084909,0.0
2045-01-03 10:00:00,82377.89984584977,33433.878848128246,0.0
2045-01-03 11:00:00,80640.46948876776,35282.56135616282,0.0
2045-01-03 12:00:00,78568.55033906821,37406.19140285277,0.0
2045-01-03 13:00:00,76620.86988376945,34826.98175159753,0.0
2045-01-03 14:00:00,76011.1445989409,33146.056597500814,0.0
2045-01-03 15:00:00,77249.70881389044,32255.08925388038,8289.323942874524
2045-01-03 16:00:00,76653.3630807666,30842.546684671946,25549.59208636449
2045-01-03 17:00:00,73759.55718349248,29914.12254812466,42282.45421120546
2045-01-03 18:00:00,75389.95112693688,27231.705195419487,51485.75031542507
2045-01-03 19:00:00,75107.0691766089,24737.9105468511,58961.05620351794
2045-01-03 20:00:00,70724.31031105439,22004.90421046993,55207.71226755449
2045-01-03 21:00:00,67968.12265988579,18073.35405895508,54215.79530588549
2045-01-03 22:00:00,65638.16929873842,13902.170282197612,51865.70881233845
2045-01-03 23:00:00,63195.44543036569,10490.044881493208,36552.65672417301
2045-01-04 00:00:00,58409.448461823384,6505.798456516496,20368.41419236106
2045-01-04 01:00:00,57434.85089670433,5395.7961662785065,9611.420109324925
2045-01-04 02:00:00,57374.30475538433,4722.024682764651,0.0
2045-01-04 03:00:00,57173.13531809523,5028.936421036669,0.0
2045-01-04 04:00:00,58188.748011205236,5578.0483496812485,0.0
2045-01-04 05:00:00,62309.79182363242,6908.9315011652625,0.0
2045-01-04 06:00:00,68419.09279295575,10543.734738619067,0.0
