DateTime,Base,Com AC,Res AC
2030-01-01 00:00:00,183635.9902684483,5536.5052390858045,16337.899145095347
2030-01-01 01:00:00,183076.36550211694,4698.573989129692,8921.949246086217
2030-01-01 02:00:00,180950.5687481134,4191.389792176453,1601.9258131980373
2030-01-01 03:00:00,181680.65026501703,4518.565391095656,1242.5584254463863
2030-01-01 04:00:00,183976.7529856554,4876.70665414463,898.4184693791275
2030-01-01 05:00:00,191228.61140657365,6105.367160509274,636.5066444075852
2030-01-01 06:00:00,202136.05642726648,9490.21286034883,380.68579210979976
2030-01-01 07:00:00,213732.38049933198,12130.005181196851,207.0930709077311
2030-01-01 08:00:00,217808.7158202681,15416.917686788576,158.36528951767667
2030-01-01 09:00:00,217566.94126937378,19676.748908183723,164.4562621914335
2030-01-01 10:00:00,218665.7720637573,22664.51057393045,246.68439328715024
2030-01-01 11:00:00,214866.32170865437,24727.324204972752,450.731977858003
2030-01-01 12:00:00,213126.89882782887,26787.298422675864,654.7795624288556
2030-01-01 13:00:00,209502.49304744395,25332.15409658666,694.3708848082747
2030-01-01 14:00:00,206698.05618060761,24258.067365920793,639.5521307444636
2030-01-01 15:00:00,207663.62205780952,24057.20836740524,6960.3385752519325
2030-01-01 16:00:00,210815.62183045686,22719.288813379466,19371.73028507207
2030-01-01 17:00:00,212448.35784552456,21967.08185896441,33850.108777955276
2030-01-01 18:00:00,219481.0255158136,19930.515659014512,43796.967391371334
2030-01-01 19:00:00,221798.64066713434,17642.035473334283,53155.16189230411
2030-01-01 20:00:00,212198.93714236384,16061.27368387383,53330.9790060107
2030-01-01 21:00:00,204739.15237585886,13476.11418873208,54227.43115472808
2030-01-01 22:00:00,198342.923885925,10943.49133025669,45919.66594853616
2030-01-01 23:00:00,191906.66366706084,8193.529016273857,30776.118536017948
2030-01-02 00:00:00,191532.5397762698,5991.48403777764,16284.862214725345
2030-01-02 01:00:00,186570.8843915464,5064.081869710953,9509.782194223353
2030-01-02 02:00:00,184340.80459737644,4518.919410372569,1898.7773752669625
2030-01-02 03:00:00,182819.7866169657,4814.836936968002,1520.2429789114908
2030-01-02 04:00:00,184208.12548951915,5277.369174602342,1095.9181313839863
2030-01-02 05:00:00,190279.5263316449,6581.84478876789,732.6472187525259
2030-01-02 06:00:00,204893.4348870315,9915.71029366734,433.4829377619111
2030-01-02 07:00:00,218230.82162200712,13299.8492592987,228.9522558601644
2030-01-02 08:00:00,225161.74025621096,17160.28525630676,164.84562421931832
2030-01-02 09:00:00,228817.39692994373,21221.650488443243,155.68753398491177
2030-01-02 10:00:00,229658.72642562064,24761.770879831118,189.2671981777358
2030-01-02 11:00:00,225006.72604385173,27349.285669894114,332.7439451834387
2030-01-02 12:00:00,222916.9316172141,29121.675368744985,509.80035638196586
2030-01-02 13:00:00,218238.12577373185,27479.079316374715,607.486652215636
2030-01-02 14:00:00,216761.69904975267,26341.936695456345,625.8028326844492
2030-01-02 15:00:00,219936.0032068826,25619.761200949742,6532.925536176917
2030-01-02 16:00:00,218880.9819014056,24560.13195598363,19384.962725949634
2030-01-02 17:00:00,221235.2839291874,23700.37947556519,33198.27944628591
2030-01-02 18:00:00,228045.52634671304,21625.455870379836,42228.68361702802
2030-01-02 19:00:00,233531.17294870885,19307.955145569136,50574.16592246105
2030-01-02 20:00:00,226058.76654379285,17283.44068289655,52173.52755330472
2030-01-02 21:00:00,214001.05788332404,14711.035678028855,51698.20810354441
2030-01-02 22:00:00,207975.7806504545,11720.7220997563,45399.64764485339
2030-01-02 23:00:00,200960.76123095184,8700.791348618819,30769.131756308998
2030-01-03 00:00:00,179644.93912846397,7380.687891734501,15649.776131892251
2030-01-03 01:00:00,180318.53060035934,6172.289767303228,9574.544503840129
2030-01-03 02:00:00,179522.91338787682,5458.370225317512,1452.0496332268688
2030-01-03 03:00:00,178209.7940003212,5817.81942838331,1118.792340355128
2030-01-03 04:00:00,181322.7202664376,6265.234070330178,776.0134105441953
2030-01-03 05:00:00,189091.42186471188,7802.914497593935,516.5488039511973
2030-01-03 06:00:00,201937.543879744,11947.105540303328,295.1707451149698
2030-01-03 07:00:00,215066.94651501984,15348.813033245951,166.62864643587014
2030-01-03 08:00:00,218301.9078508601,19303.56795942247,123.7812802095035
2030-01-03 09:00:00,219088.28445882525,24637.506854455045,123.78128020950348
2030-01-03 10:00:00,220423.66222779592,29010.258129682,169.0090556706681
2030-01-03 11:00:00,219621.59892995853,31603.40521487961,271.3666527669886
2030-01-03 12:00:00,215119.2472069477,34562.778209169686,383.2458868025014
2030-01-03 13:00:00,212035.6689370119,32810.65429501043,461.79939155084
2030-01-03 14:00:00,209888.5607175499,31652.43760036645,559.3961701775637
2030-01-03 15:00:00,208530.93637328016,31070.480856667167,7580.362007366138
2030-01-03 16:00:00,213571.36342600762,29715.516083659797,21482.626364606094
2030-01-03 17:00:00,213629.7633136925,27987.784370503705,35571.701750008506
2030-01-03 18:00:00,219532.31790050023,25579.33381481129,43676.797561284584
2030-01-03 19:00:00,223416.19791859598,22934.800811742432,51662.272071592306
2030-01-03 20:00:00,214770.39763705753,21201.99456915626,50535.80274909867
2030-01-03 21:00:00,205915.68286931695,18457.385873094747,49969.65208312105
2030-01-03 22:00:00,198098.17457659892,14620.555484744867,44140.59703533039
2030-01-03 23:00:00,191276.07135492523,11238.229125359094,30356.556636826914
2030-01-04 00:00:00,184597.6996842286,6015.692504145306,15273.22058522556
2030-01-04 01:00:00,177111.63559707117,5028.423201166083,8549.120323943687
2030-01-04 02:00:00,176379.28220857197,4448.454923740916,1119.3189320598065
